PART_ID,CNTR_IND,TELP_NUM,STRT_VALD_DTTM,END_VALD_DTTM,EXEC_ID
4407,NULL,+336##0569207,2006-02-18 21:14:35.000,2006-02-18 21:14:35.000,12345
4882,NULL,+336##0061835,2020-10-03 23:13:23.000,2020-10-03 23:13:23.000,12345
3951,NULL,+336##0375204,2011-03-18 03:56:14.000,2011-03-18 03:56:14.000,12345
9015,NULL,+336##0596677,2011-07-17 17:03:58.000,2011-07-17 17:03:58.000,12345
1218,NULL,+336##0162711,2002-06-21 12:07:25.000,2002-06-21 12:07:25.000,12345
1120,NULL,+336##0129157,2023-02-26 23:58:41.000,2023-02-26 23:58:41.000,12345
8593,NULL,+336##0237574,2017-02-21 22:08:08.000,2017-02-21 22:08:08.000,12345
2708,NULL,+336##0663747,2014-06-15 06:14:25.000,2014-06-15 06:14:25.000,12345
7204,NULL,+336##0760334,2014-05-22 05:12:48.000,2014-05-22 05:12:48.000,12345
8622,NULL,+336##0917818,2016-06-23 13:01:57.000,2016-06-23 13:01:57.000,12345
5393,NULL,+336##0686347,2001-05-19 11:09:56.000,2001-05-19 11:09:56.000,12345
5732,NULL,+336##0348422,2023-03-06 01:11:34.000,2023-03-06 01:11:34.000,12345
2217,NULL,+336##0945836,2020-02-01 21:11:30.000,2020-02-01 21:11:30.000,12345
10199,NULL,+336##0800500,2022-05-20 23:06:53.000,2022-05-20 23:06:53.000,12345
5542,NULL,+336##0983767,2016-09-25 16:15:55.000,2016-09-25 16:15:55.000,12345
9552,NULL,+336##0228406,2017-11-27 17:25:23.000,2017-11-27 17:25:23.000,12345
9743,NULL,+336##0025789,2010-06-05 08:10:22.000,2010-06-05 08:10:22.000,12345
10354,NULL,+336##0275755,2006-09-05 18:14:05.000,2006-09-05 18:14:05.000,12345
8513,NULL,+336##0922364,2009-09-20 02:46:01.000,2009-09-20 02:46:01.000,12345
10593,NULL,+336##0418370,1997-06-27 16:05:37.000,1997-06-27 16:05:37.000,12345
1516,NULL,+336##0992526,2004-03-23 15:24:57.000,2004-03-23 15:24:57.000,12345
8783,NULL,+336##0085223,2001-11-15 20:41:18.000,2001-11-15 20:41:18.000,12345
4775,NULL,+336##0219881,2022-05-08 05:03:01.000,2022-05-08 05:03:01.000,12345
1230,NULL,+336##0857511,1998-10-21 22:53:55.000,1998-10-21 22:53:55.000,12345
6161,NULL,+336##0709135,2002-07-06 07:49:56.000,2002-07-06 07:49:56.000,12345
365,NULL,+336##0984617,2015-06-22 10:42:18.000,2015-06-22 10:42:18.000,12345
3244,NULL,+336##0826821,2006-08-01 04:06:37.000,2006-08-01 04:06:37.000,12345
123,NULL,+336##0039406,2002-09-09 13:04:07.000,2002-09-09 13:04:07.000,12345
6419,NULL,+336##0829808,2008-04-27 06:28:47.000,2008-04-27 06:28:47.000,12345
2576,NULL,+336##0075768,2010-09-17 21:18:05.000,2010-09-17 21:18:05.000,12345
9882,NULL,+336##0740879,2002-06-25 07:04:27.000,2002-06-25 07:04:27.000,12345
3759,NULL,+336##0517763,2012-11-15 02:46:50.000,2012-11-15 02:46:50.000,12345
7671,NULL,+336##0156453,2003-05-16 20:03:40.000,2003-05-16 20:03:40.000,12345
7088,NULL,+336##0563360,2021-01-27 11:23:21.000,2021-01-27 11:23:21.000,12345
5046,NULL,+336##0475050,2020-04-13 20:46:33.000,2020-04-13 20:46:33.000,12345
9782,NULL,+336##0541237,2016-10-17 17:19:52.000,2016-10-17 17:19:52.000,12345
3959,NULL,+336##0358492,2023-05-21 02:38:06.000,2023-05-21 02:38:06.000,12345
3478,NULL,+336##0952139,1999-05-26 02:14:28.000,1999-05-26 02:14:28.000,12345
7740,NULL,+336##0681856,2022-11-10 08:09:57.000,2022-11-10 08:09:57.000,12345
3617,NULL,+336##0285304,1999-09-16 11:33:31.000,1999-09-16 11:33:31.000,12345
2151,NULL,+336##0653584,2021-04-05 09:41:51.000,2021-04-05 09:41:51.000,12345
1913,NULL,+336##0305754,2021-01-26 11:13:24.000,2021-01-26 11:13:24.000,12345
3677,NULL,+336##0564300,2003-06-19 09:39:59.000,2003-06-19 09:39:59.000,12345
5594,NULL,+336##0480982,1998-07-06 11:32:50.000,1998-07-06 11:32:50.000,12345
10002,NULL,+336##0101909,2020-04-08 09:45:26.000,2020-04-08 09:45:26.000,12345
9684,NULL,+336##0505492,2013-04-24 15:38:27.000,2013-04-24 15:38:27.000,12345
10493,NULL,+336##0780669,2016-10-09 22:31:46.000,2016-10-09 22:31:46.000,12345
2374,NULL,+336##0751050,2005-11-09 02:52:45.000,2005-11-09 02:52:45.000,12345
7591,NULL,+336##0249358,2002-08-04 12:08:04.000,2002-08-04 12:08:04.000,12345
5895,NULL,+336##0620406,2017-06-11 13:22:51.000,2017-06-11 13:22:51.000,12345
9867,NULL,+336##0184057,2010-11-25 03:41:10.000,2010-11-25 03:41:10.000,12345
6742,NULL,+336##0785562,2015-10-06 10:12:02.000,2015-10-06 10:12:02.000,12345
8453,NULL,+336##0483679,2005-01-03 01:32:36.000,2005-01-03 01:32:36.000,12345
10595,NULL,+336##0639785,2004-04-14 20:32:39.000,2004-04-14 20:32:39.000,12345
10394,NULL,+336##0759903,2020-04-02 18:24:46.000,2020-04-02 18:24:46.000,12345
2884,NULL,+336##0851067,2003-10-05 15:17:23.000,2003-10-05 15:17:23.000,12345
7005,NULL,+336##0319050,2008-02-19 06:58:46.000,2008-02-19 06:58:46.000,12345
7013,NULL,+336##0041731,2019-02-27 13:28:21.000,2019-02-27 13:28:21.000,12345
5679,NULL,+336##0128451,2014-11-27 14:34:39.000,2014-11-27 14:34:39.000,12345
8008,NULL,+336##0248105,2014-01-11 05:39:41.000,2014-01-11 05:39:41.000,12345
2339,NULL,+336##0639387,2003-02-11 10:32:11.000,2003-02-11 10:32:11.000,12345
5933,NULL,+336##0731539,2021-07-16 03:08:58.000,2021-07-16 03:08:58.000,12345
