;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1242932;Name12932;FistName12932;2008-02-03;Ville6;Pays2;NS000012932;NULL;+336##0349240;25;NomVoie4712932;NULL;#4544;Ville9;Pays4;2014-03-01-19-56-13;2014-03-01-19-56-13
1;1269650;Name39650;FistName39650;1962-02-14;Ville7;Pays3;NS000039650;NULL;+336##0250751;12;NomVoie7739650;NULL;#6139;Ville6;Pays2;2005-06-11-05-01-17;2005-06-11-05-01-17
2;1255047;Name25047;FistName25047;1958-04-14;Ville23;Pays3;NS000025047;NULL;+336##0485930;41;NomVoie3725047;NULL;#6279;Ville25;Pays4;1998-09-18-06-05-28;1998-09-18-06-05-28
3;1254421;Name24421;FistName24421;1986-09-10;Ville16;Pays2;NS000024421;NULL;+336##0743331;25;NomVoie9124421;NULL;#4030;Ville18;Pays1;2002-05-12-12-15-46;2002-05-12-12-15-46
4;1241033;Name11033;FistName11033;2004-01-09;Ville9;Pays3;NS000011033;NULL;+336##0267660;8;NomVoie1011033;NULL;#8800;Ville9;Pays2;2015-01-15-12-09-09;2015-01-15-12-09-09
5;1262979;Name32979;FistName32979;1973-05-27;Ville16;Pays2;NS000032979;NULL;+336##0904041;92;NomVoie8132979;NULL;#0154;Ville6;Pays3;2017-09-21-19-30-12;2017-09-21-19-30-12
6;1272783;Name42783;FistName42783;1985-01-15;Ville18;Pays2;NS000042783;NULL;+336##0807770;71;NomVoie9142783;NULL;#5637;Ville13;Pays2;2014-04-27-14-13-26;2014-04-27-14-13-26
7;1238958;Name8958;FistName8958;1987-10-07;Ville8;Pays3;NS000008958;NULL;+336##0737868;79;NomVoie768958;NULL;#4607;Ville7;Pays2;2021-04-10-12-52-16;2021-04-10-12-52-16
8;1279562;Name49562;FistName49562;1933-10-13;Ville8;Pays3;NS000049562;NULL;+336##0251640;45;NomVoie8849562;NULL;#4341;Ville5;Pays2;2011-08-09-09-47-16;2011-08-09-09-47-16
9;1255778;Name25778;FistName25778;1941-01-12;Ville17;Pays2;NS000025778;NULL;+336##0078206;35;NomVoie1925778;NULL;#6045;Ville22;Pays3;1998-11-16-02-36-06;1998-11-16-02-36-06
10;1263209;Name33209;FistName33209;1940-09-07;Ville17;Pays2;NS000033209;NULL;+336##0123064;85;NomVoie3233209;NULL;#1680;Ville5;Pays3;1998-04-25-12-35-49;1998-04-25-12-35-49
11;1239478;Name9478;FistName9478;2000-05-11;Ville11;Pays2;NS000009478;NULL;+336##0580499;50;NomVoie539478;NULL;#6867;Ville9;Pays1;2022-06-21-18-25-37;2022-06-21-18-25-37
12;1257193;Name27193;FistName27193;1939-09-15;Ville10;Pays4;NS000027193;NULL;+336##0423015;55;NomVoie5027193;NULL;#0756;Ville9;Pays4;2021-04-13-06-33-52;2021-04-13-06-33-52
13;1242850;Name12850;FistName12850;2005-11-08;Ville3;Pays1;NS000012850;NULL;+336##0043967;58;NomVoie7412850;NULL;#2941;Ville14;Pays1;2003-07-22-15-08-48;2003-07-22-15-08-48
14;1247637;Name17637;FistName17637;2011-06-03;Ville19;Pays2;NS000017637;NULL;+336##0181618;6;NomVoie3717637;NULL;#0843;Ville2;Pays3;2023-03-10-05-44-13;2023-03-10-05-44-13
15;1245683;Name15683;FistName15683;1998-01-14;Ville25;Pays4;NS000015683;NULL;+336##0958695;81;NomVoie6015683;NULL;#2899;Ville4;Pays2;2000-09-09-18-16-05;2000-09-09-18-16-05
16;1264511;Name34511;FistName34511;1977-07-06;Ville11;Pays2;NS000034511;NULL;+336##0447273;59;NomVoie3934511;NULL;#8656;Ville11;Pays1;2007-03-25-21-55-51;2007-03-25-21-55-51
