;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1250972;Name20972;FistName20972;1975-02-15;Ville23;Pays3;NS000020972;NULL;+336##0569207;37;NomVoie7620972;NULL;#3016;Ville8;Pays1;2006-02-18-21-14-35;2006-02-18-21-14-35
1;1253193;Name23193;FistName23193;1985-01-12;Ville9;Pays1;NS000023193;NULL;+336##0061835;13;NomVoie4723193;NULL;#5772;Ville15;Pays2;2020-10-03-23-13-23;2020-10-03-23-13-23
2;1248667;Name18667;FistName18667;1939-05-27;Ville8;Pays3;NS000018667;NULL;+336##0375204;79;NomVoie1318667;NULL;#8722;Ville3;Pays3;2011-03-18-03-56-14;2011-03-18-03-56-14
3;1272662;Name42662;FistName42662;1962-01-19;Ville6;Pays1;NS000042662;NULL;+336##0596677;55;NomVoie1042662;NULL;#8356;Ville2;Pays1;2011-07-17-17-03-58;2011-07-17-17-03-58
4;1235267;Name5267;FistName5267;1982-03-27;Ville3;Pays2;NS000005267;NULL;+336##0162711;22;NomVoie665267;NULL;#6335;Ville3;Pays2;2002-06-21-12-07-25;2002-06-21-12-07-25
5;1234771;Name4771;FistName4771;2007-08-18;Ville7;Pays1;NS000004771;NULL;+336##0129157;63;NomVoie314771;NULL;#1603;Ville13;Pays2;2023-02-26-23-58-41;2023-02-26-23-58-41
6;1270672;Name40672;FistName40672;2013-10-07;Ville25;Pays3;NS000040672;NULL;+336##0237574;62;NomVoie7540672;NULL;#6174;Ville1;Pays4;2017-02-21-22-08-08;2017-02-21-22-08-08
7;1242704;Name12704;FistName12704;1978-10-19;Ville16;Pays2;NS000012704;NULL;+336##0663747;54;NomVoie7512704;NULL;#0875;Ville22;Pays1;2014-06-15-06-14-25;2014-06-15-06-14-25
8;1263998;Name33998;FistName33998;1986-11-23;Ville6;Pays1;NS000033998;NULL;+336##0760334;29;NomVoie933998;NULL;#1552;Ville19;Pays1;2014-05-22-05-12-48;2014-05-22-05-12-48
9;1270819;Name40819;FistName40819;1950-06-03;Ville14;Pays3;NS000040819;NULL;+336##0917818;45;NomVoie2340819;NULL;#7266;Ville24;Pays2;2016-06-23-13-01-57;2016-06-23-13-01-57
10;1255554;Name25554;FistName25554;1986-11-13;Ville17;Pays3;NS000025554;NULL;+336##0686347;24;NomVoie325554;NULL;#6547;Ville11;Pays4;2001-05-19-11-09-56;2001-05-19-11-09-56
