;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1256637;Name26637;FistName26637;1993-09-09;Ville8;Pays4;NS000026637;NULL;+336##0476023;50;NomVoie8626637;NULL;#7825;Ville16;Pays1;1997-02-09-20-25-47;1997-02-09-20-25-47
1;1260712;Name30712;FistName30712;1985-01-02;Ville14;Pays1;NS000030712;NULL;+336##0051466;62;NomVoie2230712;NULL;#7448;Ville20;Pays1;1999-04-09-06-06-11;1999-04-09-06-06-11
2;1252070;Name22070;FistName22070;1953-07-16;Ville8;Pays2;NS000022070;NULL;+336##0338114;6;NomVoie9122070;NULL;#2991;Ville20;Pays1;2023-06-08-09-05-52;2023-06-08-09-05-52
3;1254159;Name24159;FistName24159;1954-09-26;Ville6;Pays2;NS000024159;NULL;+336##0444086;55;NomVoie6124159;NULL;#9265;Ville11;Pays1;2018-03-22-08-14-59;2018-03-22-08-14-59
4;1234176;Name4176;FistName4176;1954-11-08;Ville4;Pays1;NS000004176;NULL;+336##0398559;1;NomVoie624176;NULL;#5360;Ville17;Pays1;2013-01-16-23-15-55;2013-01-16-23-15-55
5;1265738;Name35738;FistName35738;1987-01-08;Ville1;Pays1;NS000035738;NULL;+336##0797844;77;NomVoie3735738;NULL;#0818;Ville18;Pays1;2006-08-15-11-25-21;2006-08-15-11-25-21
6;1265287;Name35287;FistName35287;1948-11-11;Ville22;Pays2;NS000035287;NULL;+336##0014759;5;NomVoie4535287;NULL;#6909;Ville4;Pays1;1999-09-09-06-44-59;1999-09-09-06-44-59
7;1258424;Name28424;FistName28424;1995-03-25;Ville6;Pays2;NS000028424;NULL;+336##0643166;33;NomVoie7928424;NULL;#7402;Ville15;Pays1;2009-09-23-20-30-38;2009-09-23-20-30-38
8;1273939;Name43939;FistName43939;1973-07-04;Ville13;Pays1;NS000043939;NULL;+336##0566406;66;NomVoie9443939;NULL;#8999;Ville9;Pays1;2007-02-20-01-56-55;2007-02-20-01-56-55
9;1261760;Name31760;FistName31760;2005-01-16;Ville13;Pays1;NS000031760;NULL;+336##0187429;63;NomVoie9231760;NULL;#8011;Ville23;Pays1;2018-03-07-11-26-23;2018-03-07-11-26-23
10;1241726;Name11726;FistName11726;2004-10-26;Ville1;Pays3;NS000011726;NULL;+336##0338067;57;NomVoie6711726;NULL;#4072;Ville11;Pays1;2003-10-21-12-02-13;2003-10-21-12-02-13
11;1266328;Name36328;FistName36328;1931-10-04;Ville21;Pays1;NS000036328;NULL;+336##0610671;37;NomVoie636328;NULL;#1656;Ville25;Pays1;2013-11-08-10-13-18;2013-11-08-10-13-18
12;1275071;Name45071;FistName45071;1970-07-13;Ville19;Pays2;NS000045071;NULL;+336##0212829;83;NomVoie9545071;NULL;#4158;Ville6;Pays2;2014-02-18-23-30-27;2014-02-18-23-30-27
13;1238513;Name8513;FistName8513;1940-07-25;Ville5;Pays1;NS000008513;NULL;+336##0228220;53;NomVoie108513;NULL;#4115;Ville9;Pays1;2018-05-16-21-56-23;2018-05-16-21-56-23
14;1262061;Name32061;FistName32061;1989-07-03;Ville21;Pays2;NS000032061;NULL;+336##0006116;60;NomVoie6732061;NULL;#4967;Ville6;Pays3;2010-11-05-04-06-52;2010-11-05-04-06-52
15;1231525;Name1525;FistName1525;1935-09-16;Ville9;Pays2;NS000001525;NULL;+336##0737646;91;NomVoie01525;NULL;#2123;Ville2;Pays3;2015-03-17-22-41-27;2015-03-17-22-41-27
16;1279121;Name49121;FistName49121;1990-10-09;Ville25;Pays1;NS000049121;NULL;+336##0531396;79;NomVoie9849121;NULL;#4595;Ville10;Pays1;2019-02-12-20-23-04;2019-02-12-20-23-04
17;1258805;Name28805;FistName28805;1950-06-27;Ville4;Pays2;NS000028805;NULL;+336##0135348;93;NomVoie6328805;NULL;#8431;Ville16;Pays3;2013-11-14-17-22-27;2013-11-14-17-22-27
18;1260750;Name30750;FistName30750;2009-04-21;Ville13;Pays5;NS000030750;NULL;+336##0216028;1;NomVoie2630750;NULL;#2824;Ville11;Pays1;2001-10-16-16-08-56;2001-10-16-16-08-56
19;1279376;Name49376;FistName49376;1935-05-20;Ville15;Pays2;NS000049376;NULL;+336##0576861;22;NomVoie7249376;NULL;#9405;Ville15;Pays3;1997-09-09-03-45-31;1997-09-09-03-45-31
20;1246898;Name16898;FistName16898;2002-11-21;Ville12;Pays3;NS000016898;NULL;+336##0779768;15;NomVoie6616898;NULL;#9492;Ville16;Pays1;2015-04-16-09-38-55;2015-04-16-09-38-55
21;1236589;Name6589;FistName6589;2012-07-02;Ville3;Pays3;NS000006589;NULL;+336##0492575;87;NomVoie216589;NULL;#3099;Ville3;Pays2;2023-11-05-20-42-59;2023-11-05-20-42-59
22;1246177;Name16177;FistName16177;1979-07-26;Ville8;Pays2;NS000016177;NULL;+336##0506513;14;NomVoie2116177;NULL;#5397;Ville17;Pays1;2017-03-16-04-51-50;2017-03-16-04-51-50
23;1251956;Name21956;FistName21956;2016-03-11;Ville25;Pays3;NS000021956;NULL;+336##0147775;39;NomVoie7521956;NULL;#9504;Ville3;Pays1;2003-07-17-03-57-54;2003-07-17-03-57-54
24;1246000;Name16000;FistName16000;1971-03-22;Ville20;Pays1;NS000016000;NULL;+336##0947532;21;NomVoie516000;NULL;#1332;Ville18;Pays1;1999-02-07-07-25-05;1999-02-07-07-25-05
25;1258458;Name28458;FistName28458;1964-07-12;Ville8;Pays3;NS000028458;NULL;+336##0449851;85;NomVoie028458;NULL;#8913;Ville11;Pays2;2010-01-04-01-34-30;2010-01-04-01-34-30
26;1254173;Name24173;FistName24173;1942-01-09;Ville12;Pays1;NS000024173;NULL;+336##0475819;49;NomVoie5824173;NULL;#8399;Ville25;Pays3;2021-05-22-19-35-08;2021-05-22-19-35-08
27;1274764;Name44764;FistName44764;1951-10-24;Ville23;Pays1;NS000044764;NULL;+336##0128442;46;NomVoie6244764;NULL;#3131;Ville3;Pays2;2012-01-25-20-27-57;2012-01-25-20-27-57
28;1233131;Name3131;FistName3131;1970-08-04;Ville13;Pays2;NS000003131;NULL;+336##0490570;79;NomVoie513131;NULL;#0124;Ville3;Pays2;2019-10-10-15-42-09;2019-10-10-15-42-09
29;1259948;Name29948;FistName29948;1939-05-16;Ville9;Pays2;NS000029948;NULL;+336##0665534;2;NomVoie5629948;NULL;#2715;Ville9;Pays2;2009-10-07-07-47-52;2009-10-07-07-47-52
30;1270789;Name40789;FistName40789;1998-01-07;Ville4;Pays1;NULL;NULL;+336##0971898;41;NomVoie7840789;NULL;#3839;Ville25;Pays2;2001-06-17-06-58-27;2001-06-17-06-58-27
31;1243540;Name13540;FistName13540;2006-04-05;Ville19;Pays1;NS000013540;NULL;+336##0714570;41;NomVoie3313540;NULL;#4521;Ville17;Pays2;2011-04-05-18-24-39;2011-04-05-18-24-39
32;1263013;Name33013;FistName33013;1969-10-15;Ville22;Pays1;NS000033013;NULL;+336##0380856;22;NomVoie5233013;NULL;#1496;Ville10;Pays2;2019-11-02-11-46-35;2019-11-02-11-46-35
33;1269344;Name39344;FistName39344;2007-05-13;Ville7;Pays2;NS000039344;NULL;+336##0494452;93;NomVoie1339344;NULL;#9193;Ville7;Pays2;2016-09-01-13-26-31;2016-09-01-13-26-31
34;1245353;Name15353;FistName15353;1962-01-06;Ville4;Pays1;NS000015353;NULL;+336##0010850;96;NomVoie1215353;NULL;#5650;Ville9;Pays3;2016-09-08-22-41-30;2016-09-08-22-41-30
35;1261198;Name31198;FistName31198;1946-01-14;Ville9;Pays2;NS000031198;NULL;+336##0371703;97;NomVoie9631198;NULL;#1439;Ville14;Pays1;2013-08-03-17-27-18;2013-08-03-17-27-18
36;1243649;Name13649;FistName13649;1937-10-01;Ville16;Pays2;NS000013649;NULL;+336##0235277;93;NomVoie9313649;NULL;#8509;Ville21;Pays1;2019-02-20-12-16-05;2019-02-20-12-16-05
37;1250487;Name20487;FistName20487;1966-06-08;Ville1;Pays1;NS000020487;NULL;+336##0332678;4;NomVoie6920487;NULL;#7327;Ville9;Pays2;1998-10-16-19-17-52;1998-10-16-19-17-52
38;1252475;Name22475;FistName22475;2013-07-23;Ville25;Pays3;NS000022475;NULL;+336##0874434;53;NomVoie6922475;NULL;#4953;Ville9;Pays1;2019-01-13-15-37-53;2019-01-13-15-37-53
39;1261952;Name31952;FistName31952;1975-03-24;Ville25;Pays2;NS000031952;NULL;+336##0948851;25;NomVoie7831952;NULL;#0465;Ville25;Pays1;2013-04-11-19-23-55;2013-04-11-19-23-55
40;1267621;Name37621;FistName37621;1959-08-11;Ville7;Pays1;NS000037621;NULL;+336##0255006;36;NomVoie6637621;NULL;#2566;Ville17;Pays1;2011-02-08-09-49-14;2011-02-08-09-49-14
41;1252229;Name22229;FistName22229;1932-02-17;Ville15;Pays2;NS000022229;NULL;+336##0451211;92;NomVoie2722229;NULL;#2407;Ville21;Pays1;2007-04-08-06-20-09;2007-04-08-06-20-09
42;1275198;Name45198;FistName45198;1943-04-17;Ville10;Pays1;NS000045198;NULL;+336##0317817;70;NomVoie4445198;NULL;#5449;Ville3;Pays1;1997-04-19-02-27-58;1997-04-19-02-27-58
43;1241200;Name11200;FistName11200;1985-03-09;Ville14;Pays2;NS000011200;NULL;+336##0305717;83;NomVoie2211200;NULL;#6769;Ville22;Pays3;2017-11-08-01-18-15;2017-11-08-01-18-15
44;1264107;Name34107;FistName34107;1950-09-22;Ville23;Pays3;NS000034107;NULL;+336##0325021;96;NomVoie3634107;NULL;#9169;Ville15;Pays3;2016-02-03-11-27-50;2016-02-03-11-27-50
45;1240806;Name10806;FistName10806;1957-07-16;Ville22;Pays1;NS000010806;NULL;+336##0115425;28;NomVoie7010806;NULL;#7334;Ville18;Pays1;2007-11-24-04-06-18;2007-11-24-04-06-18
46;1279474;Name49474;FistName49474;2015-08-17;Ville24;Pays1;NS000049474;NULL;+336##0165801;62;NomVoie7149474;NULL;#9913;Ville2;Pays1;2016-04-11-10-17-14;2016-04-11-10-17-14
47;1240451;Name10451;FistName10451;1994-10-26;Ville15;Pays1;NS000010451;NULL;+336##0068763;50;NomVoie8110451;NULL;#8704;Ville19;Pays1;1997-09-21-07-10-50;1997-09-21-07-10-50
48;1264673;Name34673;FistName34673;1949-01-21;Ville18;Pays1;NS000034673;NULL;+336##0926667;52;NomVoie9434673;NULL;#3150;Ville10;Pays1;2015-05-06-01-45-08;2015-05-06-01-45-08
