;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1239591;Name9591;FistName9591;1930-04-04;Ville7;Pays2;NS000009591;NULL;+336##0902445;68;NomVoie699591;NULL;#0662;Ville13;Pays2;2022-02-15-12-12-27;2022-02-15-12-12-27
1;1233787;Name3787;FistName3787;1964-09-15;Ville6;Pays3;NS000003787;NULL;+336##0531443;47;NomVoie33787;NULL;#5545;Ville24;Pays2;2015-02-18-05-16-37;2015-02-18-05-16-37
2;1232659;Name2659;FistName2659;1937-10-08;Ville9;Pays2;NS000002659;NULL;+336##0664157;84;NomVoie842659;NULL;#6061;Ville3;Pays2;2011-05-19-03-49-56;2011-05-19-03-49-56
3;1255218;Name25218;FistName25218;1983-01-24;Ville1;Pays2;NS000025218;NULL;+336##0440662;46;NomVoie8125218;NULL;#4362;Ville13;Pays1;2015-01-19-19-56-46;2015-01-19-19-56-46
4;1255859;Name25859;FistName25859;2014-07-09;Ville12;Pays2;NS000025859;NULL;+336##0044416;64;NomVoie6625859;NULL;#1193;Ville3;Pays1;2005-09-18-07-23-10;2005-09-18-07-23-10
5;1275068;Name45068;FistName45068;1993-10-14;Ville24;Pays3;NS000045068;NULL;+336##0636586;6;NomVoie1145068;NULL;#4077;Ville10;Pays2;2007-03-05-14-32-01;2007-03-05-14-32-01
6;1264766;Name34766;FistName34766;1998-11-02;Ville2;Pays2;NS000034766;NULL;+336##0153734;7;NomVoie2734766;NULL;#2537;Ville17;Pays1;2007-07-12-08-37-42;2007-07-12-08-37-42
7;1253566;Name23566;FistName23566;1946-01-01;Ville3;Pays1;NS000023566;NULL;+336##0321055;79;NomVoie9223566;NULL;#0786;Ville19;Pays1;2013-10-10-22-12-35;2013-10-10-22-12-35
8;1251127;Name21127;FistName21127;1968-07-07;Ville16;Pays1;NS000021127;NULL;+336##0099964;73;NomVoie4221127;NULL;#9258;Ville11;Pays1;1997-03-26-02-28-03;1997-03-26-02-28-03
9;1241294;Name11294;FistName11294;2012-06-11;Ville1;Pays1;NS000011294;NULL;+336##0661156;42;NomVoie1411294;NULL;#6571;Ville6;Pays2;1999-02-19-08-45-39;1999-02-19-08-45-39
10;1253914;Name23914;FistName23914;1988-10-06;Ville5;Pays2;NS000023914;NULL;+336##0781140;19;NomVoie7923914;NULL;#7728;Ville19;Pays1;2002-04-23-08-10-28;2002-04-23-08-10-28
11;1273928;Name43928;FistName43928;2000-09-05;Ville16;Pays1;NS000043928;NULL;+336##0013428;85;NomVoie2643928;NULL;#4489;Ville23;Pays2;2015-03-11-03-30-49;2015-03-11-03-30-49
12;1238476;Name8476;FistName8476;1946-11-02;Ville14;Pays1;NS000008476;NULL;+336##0089724;68;NomVoie858476;NULL;#6274;Ville23;Pays1;2011-09-02-18-32-55;2011-09-02-18-32-55
13;1272246;Name42246;FistName42246;1997-03-05;Ville3;Pays2;NS000042246;NULL;+336##0748979;65;NomVoie8442246;NULL;#0752;Ville20;Pays2;2006-10-20-22-22-13;2006-10-20-22-22-13
14;1261227;Name31227;FistName31227;1979-01-15;Ville25;Pays1;NS000031227;NULL;+336##0174131;56;NomVoie2931227;NULL;#8858;Ville25;Pays1;2003-10-14-23-49-40;2003-10-14-23-49-40
15;1261977;Name31977;FistName31977;1995-09-23;Ville13;Pays1;NS000031977;NULL;+336##0579430;33;NomVoie231977;NULL;#1578;Ville4;Pays3;2008-05-16-09-05-46;2008-05-16-09-05-46
