;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1244106;Name14106;FistName14106;1972-07-14;Ville1;Pays1;NS000014106;NULL;+336##0500322;67;NomVoie114106;NULL;#6784;Ville21;Pays2;2009-09-04-11-23-54;2009-09-04-11-23-54
1;1241311;Name11311;FistName11311;1934-07-04;Ville17;Pays1;NS000011311;NULL;+336##0801845;24;NomVoie6611311;NULL;#7010;Ville15;Pays1;2006-02-17-17-37-06;2006-02-17-17-37-06
2;1255575;Name25575;FistName25575;2016-01-08;Ville23;Pays1;NS000025575;NULL;+336##0863507;35;NomVoie1725575;NULL;#2325;Ville24;Pays1;2010-11-27-12-42-59;2010-11-27-12-42-59
3;1232577;Name2577;FistName2577;1981-04-06;Ville4;Pays3;NS000002577;NULL;+336##0038051;13;NomVoie732577;NULL;#6353;Ville5;Pays2;1998-03-24-10-46-13;1998-03-24-10-46-13
4;1250441;Name20441;FistName20441;1939-03-03;Ville14;Pays2;NS000020441;NULL;+336##0632421;66;NomVoie5520441;NULL;#9972;Ville3;Pays1;2000-11-20-18-08-55;2000-11-20-18-08-55
5;1263983;Name33983;FistName33983;1984-11-07;Ville17;Pays2;NS000033983;NULL;+336##0615767;81;NomVoie9633983;NULL;#0483;Ville21;Pays2;2013-03-08-20-52-53;2013-03-08-20-52-53
6;1238678;Name8678;FistName8678;1963-08-24;Ville22;Pays2;NS000008678;NULL;+336##0581534;74;NomVoie168678;NULL;#9463;Ville14;Pays1;2011-08-11-15-19-55;2011-08-11-15-19-55
7;1275288;Name45288;FistName45288;1937-09-01;Ville17;Pays1;NS000045288;NULL;+336##0723662;28;NomVoie8645288;NULL;#9666;Ville14;Pays1;2019-08-22-23-47-59;2019-08-22-23-47-59
8;1277997;Name47997;FistName47997;1937-08-26;Ville21;Pays4;NS000047997;NULL;+336##0297536;16;NomVoie2947997;NULL;#3470;Ville15;Pays2;2007-06-17-13-11-21;2007-06-17-13-11-21
9;1264503;Name34503;FistName34503;1939-03-19;Ville18;Pays2;NS000034503;NULL;+336##0518475;42;NomVoie9534503;NULL;#2108;Ville24;Pays3;2019-06-12-09-20-37;2019-06-12-09-20-37
10;1269888;Name39888;FistName39888;1970-03-05;Ville12;Pays3;NS000039888;NULL;+336##0390756;35;NomVoie7739888;NULL;#5987;Ville7;Pays2;2014-07-09-22-02-46;2014-07-09-22-02-46
11;1248696;Name18696;FistName18696;1961-08-27;Ville17;Pays2;NS000018696;NULL;+336##0289927;79;NomVoie8818696;NULL;#3430;Ville15;Pays1;1998-03-03-03-28-24;1998-03-03-03-28-24
